,Ticker,Sector,Sub-Sector,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
8,AXP,Financial , Credit Services , USA,DJIA S&P500;,14.89,6.82,0.27%,871.23M,-1.24%,88.44B,12.63,8.04,-4.70%,858.73M,0.36%,5.91B,1.26,1.76,84.30%,0.65%,0.91%,38.02B,2.33,4.50%,-0.29%,1.62,5.49%,24.29,4.18,10.75%,1.90%,111.32,16.96%,3.93,25.84,11.80%,16.60%,84.02 - 104.24,2.22%,1.40,7.04,8.70%,3.70%,-2.62%,1.16,1.38%,-,1.30%,70.30%,20.82%,1.38,55000,-,10.20%,20.60%,52.08,0.95% 1.35%,Yes,5.99,25.40%,8.70%,0.65,102.18,Yes,2.67,Jul 18 AMC,35.80%,3.42M,101.51,2.40,0.02%,1.41%,3.72%,"2,219,592",-0.66%
9,AMP,Financial , Asset Management , USA,S&P; 500,10.34,13.28,0.30%,149.19M,-2.97%,20.48B,8.51,16.13,1.53%,144.17M,-3.99%,2.03B,0.69,3.66,90.90%,1.33%,-1.89%,12.57B,1.63,44.30%,-0.44%,1.83,-14.51%,38.31,3.58,9.39%,1.20%,167.55,-5.27%,17.31,7.93,15.00%,29.30%,129.87 - 183.90,-19.01%,3.60,23.62,19.50%,9.10%,-25.36%,1.80,2.62%,-,3.30%,48.70%,5.69%,3.01,13000,-,6.30%,21.50%,38.08,1.71% 2.04%,Yes,2.65,24.00%,13.80%,0.72,138.66,Yes,0.76,Jul 24 AMC,29.20%,1.05M,137.26,2.30,-3.51%,-4.05%,-10.36%,"751,464",-1.01%
10,APH,Technology , Diversified Electronics , USA,S&P; 500,24.91,3.77,0.40%,302.63M,-0.56%,28.43B,23.68,3.97,-35.70%,299.10M,5.53%,1.18B,2.48,0.93,99.20%,1.26%,6.32%,7.63B,3.72,27.00%,-0.52%,3.29,7.55%,12.50,7.51,9.86%,7.50%,101.00,19.03%,3.27,28.68,10.05%,18.40%,78.12 - 95.90,6.98%,0.92,52.79,14.40%,15.10%,-2.05%,0.89,0.98%,1.20,10.30%,32.70%,20.24%,1.19,70000,1.70,18.90%,20.50%,58.30,1.08% 1.31%,Yes,0.91,36.40%,9.50%,1.40,94.07,Yes,0.71,Jul 25 BMO,33.40%,1.15M,93.93,2.00,1.47%,3.83%,5.61%,"1,602,732",-0.15%
11,ANSS,Technology , Application Software , USA,S&P; 500,46.16,3.71,1.00%,84.67M,-0.86%,14.51B,31.48,5.45,-13.63%,83.09M,-5.12%,320.50M,6.99,1.13,98.60%,1.58%,3.70%,1.17B,12.44,6.10%,0.16%,2.72,8.68%,29.81,5.75,8.79%,10.30%,184.00,35.93%,8.22,20.84,6.60%,12.80%,119.20 - 184.95,16.13%,-,34.76,8.10%,12.00%,-7.33%,1.02,-,2.60,6.50%,86.60%,43.78%,3.34,2900,2.60,15.90%,35.20%,43.26,1.56% 2.00%,Yes,0.00,34.20%,26.00%,0.84,173.52,Yes,0.00,Aug 06 AMC,0.00%,480.95K,171.39,2.70,-1.65%,-2.32%,6.06%,"402,783",-1.23%
12,AIV,Financial , REIT - Residential , USA,S&P; 500,-,-0.01,0.10%,158.19M,1.41%,6.92B,126.75,0.35,-14.26%,155.79M,4.04%,-1.00M,-,0.11,-,1.92%,11.24%,1.01B,6.86,-135.80%,0.25%,3.46,13.00%,9.51,4.60,-53.06%,5.80%,44.46,-4.85%,0.43,102.64,7.10%,24.70%,37.97 - 46.72,0.05%,1.52,-,37.90%,3.70%,-6.40%,0.40,3.48%,-,1.00%,65.20%,15.17%,0.63,1350,-,0.40%,17.80%,63.53,1.17% 1.53%,Yes,3.01,-81.90%,36.10%,0.89,43.30,Yes,2.86,Aug 02 AMC,63.60%,865.55K,43.73,2.50,2.77%,3.71%,5.07%,"773,728",0.99%
13,ADM,Consumer Goods , Farm Products , USA,S&P; 500,19.95,2.48,0.30%,560.30M,-1.06%,27.70B,13.81,3.58,-7.72%,557.61M,3.60%,1.40B,-,0.80,78.30%,1.79%,11.05%,63.49B,0.44,-13.80%,-0.54%,2.84,18.22%,33.17,1.49,3.17%,4.90%,53.09,17.57%,-,-,-8.80%,10.60%,38.59 - 50.60,23.35%,1.34,-,12.20%,3.10%,-2.29%,1.04,2.71%,0.90,5.40%,6.00%,28.12%,0.74,31300,1.60,14.20%,2.50%,58.66,1.43% 1.47%,Yes,0.41,110.20%,3.10%,1.28,49.94,Yes,0.32,Jul 31 BMO,38.10%,3.52M,49.44,2.30,1.79%,4.91%,13.66%,"4,513,649",-1.00%
14,T,Technology , Telecom Services - Domestic , USA,S&P; 500,17.53,1.85,0.06%,7.28B,0.34%,236.53B,8.89,3.65,6.45%,7.26B,2.24%,11.59B,2.83,0.95,49.60%,1.22%,0.53%,158.37B,1.49,-29.20%,3.80%,2.06,-10.82%,28.81,1.13,3.08%,6.80%,35.91,-14.91%,1.86,17.49,6.20%,21.40%,30.13 - 39.80,-16.49%,2.00,13.21,3.50%,5.00%,-18.42%,0.39,6.16%,0.80,4.70%,51.60%,7.77%,0.43,273210,0.80,-2.10%,12.30%,57.12,0.78% 1.37%,Yes,1.04,27.20%,20.10%,0.69,32.24,Yes,0.92,Jul 24 AMC,38.50%,42.97M,32.47,2.60,2.35%,0.96%,-6.45%,"29,616,811",0.71%
15,AVB,Financial , REIT - Residential , USA,S&P; 500,28.66,6.29,0.40%,139.04M,1.14%,25.07B,38.72,4.66,-0.36%,137.84M,5.21%,869.60M,11.29,1.12,96.90%,1.71%,13.04%,2.24B,11.21,-15.60%,0.83%,3.35,13.45%,75.44,2.39,1.15%,4.70%,187.44,-6.13%,0.73,246.74,2.54%,8.40%,152.65 - 193.41,1.06%,5.88,-,20.00%,3.20%,-6.78%,0.35,3.26%,-,16.60%,66.30%,18.11%,2.71,3112,-,7.30%,26.90%,67.79,1.13% 1.69%,Yes,0.73,54.10%,38.90%,0.79,178.63,Yes,0.73,Jul 30 AMC,90.80%,703.57K,180.30,2.40,2.78%,4.64%,6.07%,"554,646",0.93%
16,BAC,Financial , Money Center Banks , USA,S&P; 500,14.31,2.12,0.10%,10.18B,-4.53%,309.17B,10.47,2.90,-0.16%,9.98B,1.17%,22.27B,1.59,0.64,70.60%,1.37%,-2.25%,61.69B,5.01,16.90%,-0.73%,2.19,-5.12%,23.67,1.28,13.82%,0.90%,34.57,24.07%,64.27,0.47,9.00%,8.30%,22.75 - 33.05,2.85%,0.60,7.59,46.90%,4.80%,-8.14%,1.29,1.98%,-,0.10%,-,33.45%,0.52,208000,-,15.70%,68.70%,46.17,1.49% 1.43%,Yes,1.79,43.20%,32.90%,0.96,30.79,Yes,0.84,Jul 16 BMO,24.30%,62.36M,30.36,2.00,-2.02%,1.78%,1.26%,"59,711,092",-1.40%
17,HRB,Services , Personal Services , USA,S&P; 500,9.19,2.84,0.30%,209.22M,1.71%,5.47B,12.72,2.06,0.16%,204.58M,9.05%,625.40M,0.92,-0.77,-,11.59%,-6.44%,3.16B,1.73,51.70%,1.02%,7.41,-2.97%,1.88,13.90,7.93%,25.60%,25.00,-16.99%,-,-,10.00%,-262.70%,22.45 - 31.80,-0.31%,1.00,9.93,11.90%,37.60%,-17.80%,0.14,3.83%,2.20,1.70%,46.00%,16.44%,0.37,2700,2.20,2.80%,23.80%,71.77,1.29% 1.51%,Yes,3.80,44.10%,19.40%,0.71,26.10,Yes,3.80,Sep 11 AMC,32.90%,3.20M,26.14,2.80,3.70%,5.14%,0.22%,"2,285,114",0.15%
18,BXP,Financial , REIT - Office , USA,S&P; 500,38.41,3.40,0.60%,155.23M,0.79%,20.29B,42.35,3.09,-1.13%,153.39M,3.99%,525.70M,5.49,0.67,-,1.56%,11.58%,2.64B,7.69,-10.30%,0.64%,3.31,13.18%,36.87,3.54,2.29%,2.70%,133.42,6.74%,3.04,42.92,7.00%,9.30%,111.57 - 132.00,0.50%,3.20,-,12.20%,5.70%,-1.00%,0.57,2.45%,-,7.10%,62.60%,17.13%,1.83,740,-,-48.50%,33.70%,68.07,1.03% 1.61%,Yes,1.88,-44.30%,19.90%,0.84,129.79,Yes,1.88,Jul 31 AMC,91.00%,723.99K,130.68,2.50,2.89%,4.52%,6.10%,"605,753",0.69%
19,AVGO,Technology , Semiconductor - Broad Line , Singapore,S&P; 500,41.11,5.03,0.20%,446.39M,-5.87%,92.22B,10.05,20.56,-9.80%,430.90M,-0.83%,2.18B,3.11,4.82,85.70%,2.51%,-14.11%,19.65B,4.69,190.70%,0.66%,2.22,-16.59%,76.17,2.71,2.80%,20.50%,287.76,-18.57%,-,-,13.23%,44.70%,197.46 - 285.68,-19.59%,7.00,21.36,12.40%,5.80%,-27.69%,0.96,3.39%,5.30,49.50%,49.50%,4.62%,6.43,14000,5.90,19.70%,18.00%,30.36,2.05% 2.47%,Yes,0.55,62.90%,55.80%,0.83,207.30,Yes,0.55,Sep 06 AMC,20.90%,4.88M,206.58,2.10,-4.70%,-12.39%,-16.78%,"4,040,365",-0.35%
20,COG,Basic Materials , Independent Oil & Gas , USA,S&P; 500,-,-0.24,1.50%,436.70M,-1.79%,10.04B,13.87,1.66,0.75%,434.19M,-2.87%,-110.10M,-,0.28,-,6.38%,-1.29%,1.71B,5.86,66.50%,1.07%,4.82,-4.25%,4.78,4.81,49.82%,2.80%,28.19,-6.55%,1.70,13.54,48.96%,5.50%,21.71 - 29.57,-19.65%,0.24,181.14,-24.40%,-1.60%,-22.29%,0.38,1.04%,1.60,7.90%,35.80%,5.85%,0.56,308,1.70,-1.50%,-8.40%,42.90,2.15% 2.44%,Yes,0.71,103.00%,7.80%,1.09,23.72,Yes,0.57,Jul 27 BMO,75.60%,5.74M,22.98,2.40,-3.18%,-2.71%,-8.75%,"6,236,355",-3.12%
21,CAH,Services , Drugs Wholesale , USA,S&P; 500,-,-2.14,0.42%,314.28M,2.63%,15.79B,9.21,5.45,-2.71%,309.39M,0.56%,-655.00M,-,1.10,93.10%,3.98%,-7.82%,136.81B,0.12,-6.90%,-1.42%,3.61,-25.38%,24.08,2.09,8.06%,4.40%,54.93,-24.36%,6.92,7.26,4.94%,25.50%,48.14 - 75.75,-17.99%,1.91,15.10,5.60%,8.70%,-33.66%,1.05,3.80%,0.50,3.90%,5.20%,4.38%,1.18,40400,1.10,5.70%,1.20%,50.94,2.15% 2.39%,Yes,1.27,-37.20%,1.30%,0.85,50.17,Yes,1.20,Aug 06 BMO,31.50%,3.41M,50.25,2.80,1.42%,-1.58%,-16.20%,"2,902,938",0.16%
22,CBOE,Financial , Diversified Investments , USA,S&P; 500,32.99,2.87,0.70%,112.75M,2.10%,10.67B,19.65,4.82,-0.47%,111.13M,-9.75%,322.90M,2.32,1.00,87.30%,2.32%,-12.72%,2.68B,3.99,-15.80%,1.07%,2.64,-17.70%,28.12,3.37,6.57%,9.70%,107.75,-2.96%,2.41,39.26,14.20%,16.70%,91.10 - 138.54,-24.03%,1.24,26.79,1.50%,5.70%,-31.68%,0.50,1.31%,0.90,34.20%,42.90%,3.90%,1.94,889,0.90,4.20%,19.60%,38.02,1.55% 2.13%,Yes,0.39,22.70%,19.20%,0.95,93.46,Yes,0.29,Aug 03 BMO,23.60%,977.13K,94.65,2.50,-3.71%,-6.67%,-16.13%,"923,609",1.27%
23,CNC,Healthcare , Health Care Plans , USA,S&P; 500,27.81,5.17,2.60%,203.73M,4.54%,29.28B,17.22,8.34,-5.25%,200.57M,7.31%,950.00M,1.64,1.77,79.60%,2.15%,27.10%,52.08B,0.56,16.70%,0.56%,3.00,40.70%,54.27,2.65,17.96%,4.40%,124.88,73.45%,32.92,4.36,16.95%,13.60%,82.20 - 143.79,42.45%,-,29.97,37.00%,6.50%,-0.06%,0.81,-,-,42.90%,-,74.82%,2.41,33700,-,18.60%,3.00%,75.56,1.73% 1.77%,Yes,0.59,4.50%,2.10%,1.11,143.68,Yes,0.59,Jul 24 BMO,0.00%,1.44M,143.70,2.00,6.49%,11.12%,29.61%,"1,595,144",0.01%
24,CF,Basic Materials , Agricultural Chemicals , USA,S&P; 500,113.74,0.41,0.50%,234.00M,-3.05%,11.02B,23.36,2.02,-5.47%,232.52M,10.20%,98.00M,-,0.09,21.34%,5.21%,16.13%,4.23B,2.61,52.10%,0.49%,4.51,18.73%,15.20,3.10,57.25%,4.30%,48.26,55.41%,3.11,15.14,-,17.00%,28.47 - 50.54,10.70%,1.20,33.49,-16.00%,3.10%,-6.83%,0.96,2.55%,2.30,-7.50%,15.50%,65.40%,1.30,2900,2.80,15.70%,10.60%,52.85,2.50% 2.67%,Yes,0.00,4833.30%,13.90%,1.35,48.00,Yes,1.32,Aug 01 AMC,47.80%,2.69M,47.09,2.70,2.09%,5.43%,15.10%,"3,622,020",-1.90%
25,CMG,Services , Restaurants , USA,S&P; 500,86.72,6.06,0.60%,27.92M,7.86%,14.68B,44.01,11.95,1.82%,27.42M,16.21%,170.10M,3.49,2.02,89.80%,9.14%,18.27%,4.65B,3.16,700.90%,0.66%,3.25,81.40%,50.04,10.51,39.44%,8.10%,450.52,62.93%,20.56,25.58,24.85%,12.30%,247.51 - 495.04,81.95%,-,51.11,-6.70%,12.60%,6.23%,0.42,-,2.00,10.40%,24.90%,112.47%,13.35,68890,2.00,8.30%,5.40%,72.60,2.24% 2.58%,Yes,0.00,-27.60%,3.60%,2.48,493.32,Yes,0.00,Jul 26 AMC,0.00%,772.63K,525.89,2.60,13.17%,14.47%,45.03%,"1,917,517",6.60%
26,XEC,Basic Materials , Independent Oil & Gas , USA,S&P; 500,14.91,5.58,0.60%,94.33M,-6.44%,7.85B,10.13,8.21,-1.13%,93.97M,-14.55%,523.10M,0.27,1.69,-,3.85%,-15.93%,2.14B,3.67,203.70%,5.59%,2.20,-18.56%,30.80,2.70,16.45%,11.30%,124.65,-13.87%,4.35,19.11,54.86%,22.00%,82.45 - 130.16,-31.79%,0.64,-,2.20%,11.70%,-36.06%,1.11,0.77%,1.30,3.40%,74.70%,0.93%,3.19,910,1.30,-38.40%,36.30%,29.63,3.86% 2.94%,Yes,0.52,-38.20%,27.30%,1.48,86.01,Yes,0.52,Aug 07 AMC,6.40%,1.64M,83.22,2.10,-12.32%,-12.12%,-19.70%,"2,423,021",-3.24%
27,C,Financial , Money Center Banks , USA,S&P; 500,11.20,6.13,0.10%,2.65B,-5.82%,181.61B,9.22,7.45,0.00%,2.55B,-1.01%,15.85B,0.87,1.66,80.30%,0.77%,-4.59%,65.46B,2.77,14.60%,-0.75%,1.20,-10.51%,71.56,0.96,13.43%,-0.40%,83.52,1.00%,276.26,0.25,12.80%,-3.60%,64.38 - 80.70,-7.74%,1.80,12.14,17.20%,7.60%,-14.93%,1.46,2.62%,-,-1.90%,-,6.63%,1.21,205000,-,14.80%,57.70%,41.38,1.55% 1.39%,Yes,1.23,27.60%,-10.50%,1.16,70.01,Yes,1.23,Jul 13 BMO,-,16.32M,68.65,2.10,-3.55%,-0.34%,-4.77%,"18,942,320",-1.94%
28,CMS,Utilities , Electric Utilities , USA,S&P; 500,20.00,2.47,0.40%,282.33M,2.57%,13.96B,19.71,2.51,-2.57%,281.56M,3.89%,697.00M,2.89,0.59,94.00%,2.15%,11.37%,6.75B,2.07,9.60%,2.12%,2.35,15.27%,16.56,2.99,7.45%,2.40%,50.07,3.54%,1.69,29.27,6.92%,12.00%,40.48 - 50.85,4.55%,1.43,-,9.20%,7.10%,-2.75%,0.00,2.89%,0.70,1.00%,63.70%,22.16%,0.69,7822,0.90,3.00%,19.70%,71.32,1.19% 1.40%,Yes,2.26,49.90%,8.10%,1.09,48.80,Yes,2.00,Jul 26 BMO,70.70%,2.58M,49.45,2.30,2.99%,5.81%,7.45%,"2,802,696",1.33%
29,CMCSA,Services , Entertainment - Diversified , USA,S&P; 500,14.75,2.37,0.10%,4.58B,-0.23%,160.09B,12.57,2.78,-15.99%,4.54B,2.04%,11.16B,0.91,0.63,84.50%,1.45%,7.43%,87.42B,1.83,17.60%,-0.79%,2.61,-11.31%,15.37,2.28,9.74%,12.70%,43.06,-15.73%,1.25,27.96,16.24%,36.30%,30.43 - 44.00,-12.68%,0.76,11.44,12.60%,9.70%,-20.52%,1.21,2.17%,1.00,6.20%,69.50%,14.92%,0.68,164000,1.00,2.10%,21.20%,53.06,1.50% 1.81%,Yes,0.91,32.10%,27.40%,0.61,35.39,Yes,0.88,Jul 26 BMO,13.50%,25.13M,34.97,2.00,0.27%,3.43%,-2.64%,"15,358,617",-1.19%
30,COP,Basic Materials , Independent Oil & Gas , USA,S&P; 500,21.93,3.09,0.09%,1.17B,-5.00%,79.51B,13.65,4.97,-23.67%,1.16B,-3.50%,3.68B,-,1.18,73.80%,1.07%,-2.91%,32.92B,2.42,51.80%,0.07%,1.98,22.18%,26.48,2.56,13.89%,6.30%,80.15,52.40%,3.28,20.67,-,14.80%,42.26 - 73.75,23.56%,1.14,43.69,-17.50%,-2.60%,-8.05%,1.21,1.68%,1.60,-12.70%,44.90%,60.46%,1.57,11200,1.70,31.80%,19.40%,38.97,2.31% 1.71%,Yes,0.48,149.90%,13.80%,1.25,72.15,Yes,0.48,Jul 26 BMO,28.80%,6.26M,67.82,2.20,-4.99%,-2.90%,11.11%,"7,835,410",-6.00%
31,COST,Services ," Discount, Variety Stores ", USA,S&P; 500,33.99,6.52,0.63%,447.04M,-1.30%,99.10B,28.71,7.72,-3.56%,435.79M,3.10%,2.88B,2.84,2.33,73.90%,1.37%,11.55%,139.47B,0.71,14.10%,0.24%,3.04,18.32%,27.68,8.01,8.99%,7.80%,225.77,41.30%,15.76,14.07,11.96%,26.30%,150.06 - 225.48,19.10%,2.28,-,9.30%,16.00%,-1.69%,0.93,1.03%,0.50,5.40%,13.10%,47.72%,3.16,133000,1.00,12.10%,3.20%,58.73,1.65% 1.42%,Yes,0.00,-1.10%,2.20%,0.94,222.00,Yes,0.53,Aug 30 AMC,29.10%,1.96M,221.67,2.00,0.76%,4.09%,14.54%,"1,844,031",-0.15%
32,CSX,Services , Railroads , USA,S&P; 500,24.35,3.01,5.26%,860.59M,0.85%,62.96B,18.24,4.01,0.01%,813.62M,13.53%,2.67B,1.19,0.89,79.60%,2.23%,15.61%,11.58B,5.44,18.90%,0.88%,3.58,32.66%,16.21,4.51,11.42%,16.90%,73.41,43.09%,1.63,44.88,20.38%,45.70%,48.11 - 73.98,32.99%,0.88,49.77,3.70%,9.40%,-1.11%,1.23,1.20%,1.50,-0.60%,61.90%,52.07%,1.33,24000,1.70,5.80%,37.30%,68.89,1.36% 1.96%,Yes,0.98,83.10%,53.30%,0.93,73.70,Yes,0.98,Jul 17 AMC,12.10%,5.06M,73.16,2.10,2.95%,8.43%,23.52%,"4,724,432",-0.73%
33,DHR,Industrial Goods , Diversified Machinery , USA,S&P; 500,26.54,3.77,0.40%,711.05M,-1.82%,71.17B,20.64,4.85,-17.52%,618.16M,0.51%,2.67B,2.95,1.08,79.50%,0.87%,-0.61%,19.29B,3.69,13.70%,-0.42%,2.25,4.15%,38.86,2.58,8.02%,5.70%,113.40,24.24%,1.27,78.73,9.01%,10.10%,80.33 - 106.08,7.83%,0.64,25.75,1.60%,6.90%,-5.65%,1.05,0.64%,1.10,0.10%,56.20%,24.60%,1.46,67000,1.50,10.40%,17.20%,43.76,1.21% 1.34%,Yes,0.42,20.20%,13.80%,0.75,100.79,Yes,0.41,Jul 19 BMO,15.20%,2.39M,100.09,1.80,-1.80%,-0.77%,1.69%,"1,777,654",-0.69%
34,DAL,Services , Major Airlines , USA,S&P; 500,11.27,4.90,0.20%,697.90M,0.00%,38.55B,8.35,6.61,-9.11%,689.39M,8.00%,3.47B,0.69,1.76,91.10%,2.41%,3.27%,43.05B,0.90,-11.00%,0.46%,2.72,5.80%,18.50,2.99,18.58%,6.20%,67.20,10.64%,3.45,16.02,16.40%,25.60%,44.59 - 60.79,-1.38%,1.40,10.44,34.10%,19.40%,-9.15%,1.04,2.53%,0.30,2.40%,49.70%,23.86%,1.10,86564,0.40,9.60%,12.90%,59.01,1.73% 1.89%,Yes,0.77,-9.40%,7.70%,0.80,54.76,Yes,0.67,Jul 12 BMO,25.90%,6.11M,55.23,1.60,2.74%,4.68%,3.19%,"4,896,431",0.86%
35,DFS,Financial , Credit Services , USA,S&P; 500,10.07,7.49,0.90%,353.57M,-0.13%,26.66B,8.76,8.61,-8.26%,346.13M,6.05%,2.67B,0.77,2.04,92.10%,1.10%,-2.62%,10.24B,2.60,3.00%,0.44%,1.83,-2.85%,29.67,2.54,10.02%,2.20%,87.32,21.87%,-,-,13.07%,21.70%,57.50 - 81.93,-1.98%,1.60,5.10,77.50%,11.40%,-7.97%,1.48,2.12%,-,74.60%,-,31.13%,1.19,16500,-,12.70%,54.20%,59.65,1.26% 1.61%,Yes,2.54,58.90%,22.00%,1.16,75.71,Yes,2.27,Jul 26 AMC,22.20%,2.08M,75.40,2.00,3.05%,3.51%,2.33%,"2,401,007",-0.41%
36,DG,Services ," Discount, Variety Stores ", USA,S&P; 500,21.51,4.84,0.10%,266.12M,2.31%,27.71B,15.57,6.69,-10.35%,266.09M,4.76%,1.31B,1.40,1.49,-,2.55%,8.24%,23.98B,1.16,1.40%,-,2.83,7.72%,23.25,4.48,10.33%,13.10%,-,41.40%,1.07,97.57,15.32%,27.30%,70.30 - 105.82,11.96%,1.16,31.37,9.50%,14.60%,-1.60%,0.91,1.11%,0.20,7.90%,30.80%,48.12%,1.67,129000,1.60,9.00%,8.40%,67.04,1.71% 1.49%,Yes,0.46,33.90%,6.80%,0.65,105.10,Yes,0.46,Aug 30 BMO,17.80%,2.40M,104.13,-,4.51%,5.63%,9.90%,"1,568,403",-0.92%
37,DWDP,Basic Materials , Chemicals - Major Diversified , USA,DJIA S&P500;,112.64,0.59,0.10%,2.32B,-1.77%,154.06B,13.56,4.90,-,2.31B,-0.89%,1.13B,16.09,0.73,71.90%,0.72%,-2.31%,81.18B,1.90,-92.00%,-0.10%,2.19,-6.83%,42.56,1.56,16.99%,1.10%,81.48,-,4.21,15.80,7.00%,2.10%,61.27 - 77.08,-6.68%,1.52,160.98,-,0.70%,-13.78%,-,2.29%,1.10,-,21.50%,8.47%,1.41,98000,1.70,75.30%,3.10%,45.52,1.99% 1.77%,Yes,0.35,-29.20%,2.60%,1.08,67.56,Yes,0.27,Aug 02 BMO,155.50%,7.59M,66.46,1.80,-1.38%,-1.10%,-3.63%,"8,184,593",-1.63%
38,DRE,Financial , REIT - Industrial , USA,S&P; 500,27.68,1.03,0.20%,361.11M,-2.44%,10.27B,63.74,0.45,-1.61%,356.47M,0.57%,362.60M,4.61,0.12,97.70%,1.47%,1.68%,855.60M,12.00,-5.50%,0.37%,2.36,11.36%,13.05,2.18,-46.27%,8.30%,30.38,1.52%,0.24,118.96,6.00%,13.40%,24.30 - 29.48,4.48%,0.80,-,28.60%,5.20%,-3.56%,0.58,2.81%,-,-5.70%,64.50%,17.00%,0.39,400,-,11.20%,50.90%,43.82,1.07% 1.44%,Yes,0.52,69.90%,72.10%,1.80,28.60,Yes,0.52,Jul 25 AMC,45.70%,2.22M,28.43,2.30,-1.01%,-1.07%,4.32%,"3,993,139",-0.59%
39,ETN,Industrial Goods , Diversified Machinery , Ireland,S&P; 500,11.47,6.94,0.20%,440.62M,-2.78%,35.09B,13.58,5.86,-8.75%,432.23M,2.33%,3.07B,1.67,1.42,84.50%,2.48%,2.97%,21.16B,1.66,55.80%,1.92%,4.18,-3.68%,38.35,2.08,9.71%,9.70%,90.67,10.12%,1.12,71.31,6.86%,18.50%,69.82 - 89.85,0.78%,2.64,43.64,13.50%,8.40%,-11.37%,1.38,3.32%,1.00,4.60%,32.70%,14.05%,1.38,96000,1.50,-45.00%,13.10%,47.56,1.39% 1.59%,Yes,0.46,-34.10%,14.80%,0.74,80.14,Yes,0.40,Jul 31 BMO,35.40%,2.57M,79.63,2.10,-0.73%,1.24%,0.72%,"1,902,091",-0.64%
40,EW,Healthcare , Medical Appliances & Equipment , USA,S&P; 500,31.83,4.33,0.20%,211.87M,-1.31%,29.21B,26.32,5.24,-52.75%,208.12M,-7.59%,925.10M,2.24,1.02,85.00%,1.28%,1.06%,3.55B,8.23,55.50%,-1.04%,2.18,5.88%,15.10,9.13,12.04%,11.60%,156.00,20.06%,6.61,20.85,14.20%,21.00%,100.20 - 156.87,22.32%,-,37.84,27.00%,22.00%,-12.11%,0.58,-,1.80,12.60%,73.80%,37.59%,3.03,12200,2.30,12.10%,29.60%,31.94,1.72% 2.04%,Yes,0.38,43.70%,18.50%,1.24,137.13,Yes,0.19,Jul 26 AMC,0.00%,1.22M,137.87,2.00,-5.10%,-6.13%,4.94%,"1,512,781",0.54%
41,EVHC,Healthcare , Long-Term Care Facilities , USA,-,-,-18.47,1.00%,121.10M,0.54%,5.44B,10.99,4.09,0.00%,119.28M,0.11%,-2229.20M,-,0.99,-,11.29%,5.77%,8.14B,0.67,-430.10%,-2.23%,3.24,20.31%,38.28,1.17,12.22%,-11.60%,44.83,-11.63%,4.90,9.16,16.60%,-29.40%,23.77 - 52.72,29.92%,-,16.97,-29.50%,0.70%,-14.83%,0.32,-,2.40,54.10%,97.30%,88.89%,0.32,46200,2.40,6.50%,-22.30%,61.28,0.66% 0.78%,Yes,1.00,-,-21.70%,0.40,44.98,Yes,1.00,Aug 06,-,4.15M,44.90,2.60,1.21%,1.23%,17.12%,"1,658,567",-0.18%
42,EQIX,Technology , Internet Software & Services , USA,S&P; 500,397.46,1.10,0.30%,81.32M,-2.48%,35.49B,69.73,6.26,-15.26%,79.01M,-0.47%,87.10M,11.94,1.01,-,1.50%,13.13%,4.83B,7.35,-64.50%,0.74%,2.05,0.13%,87.12,5.01,55.70%,1.40%,501.96,-2.66%,12.11,36.05,33.30%,4.00%,370.79 - 495.35,-3.71%,9.12,-,-25.10%,3.00%,-11.90%,0.50,2.09%,1.30,18.30%,48.70%,17.70%,8.89,7273,1.30,18.30%,16.80%,50.28,2.07% 2.22%,Yes,1.64,45.30%,5.70%,0.90,434.02,Yes,1.60,Aug 08 AMC,236.70%,579.45K,436.41,1.80,-0.82%,1.91%,1.92%,"524,082",0.55%
43,RE,Financial , Property & Casualty Insurance , Bermuda,S&P; 500,44.19,4.89,1.40%,41.36M,-0.43%,8.94B,9.07,23.85,-0.38%,2.41M,-8.04%,212.30M,1.08,3.23,98.80%,38.52%,-5.61%,7.24B,1.24,-51.20%,1.36%,3.40,-10.87%,203.47,1.06,39.12%,0.90%,251.70,-19.15%,14.98,14.43,40.91%,2.50%,208.81 - 270.93,-2.28%,5.20,19.88,-6.00%,5.70%,-20.20%,0.44,2.41%,-,6.00%,-,3.54%,4.00,1276,-,-37.30%,1.40%,36.33,1.47% 1.78%,Yes,0.08,-87.20%,2.80%,0.73,214.66,Yes,0.08,Jul 30 AMC,101.70%,273.05K,216.21,2.60,-2.57%,-4.66%,-6.93%,"198,459",0.72%
